Probe	EnsemblID	symbol	name
ENSG00000002745.11	ENSG00000002745	WNT16	Wnt family member 16
ENSG00000002746.13	ENSG00000002746	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
ENSG00000002822.14	ENSG00000002822	MAD1L1	MAD1 mitotic arrest deficient like 1
ENSG00000002834.16	ENSG00000002834	LASP1	LIM and SH3 protein 1
ENSG00000002919.13	ENSG00000002919	SNX11	sorting nexin 11
ENSG00000002933.6	ENSG00000002933	TMEM176A	transmembrane protein 176A
ENSG00000003056.6	ENSG00000003056	M6PR	mannose-6-phosphate receptor, cation dependent
ENSG00000003096.12	ENSG00000003096	KLHL13	kelch like family member 13
ENSG00000003137.7	ENSG00000003137	CYP26B1	cytochrome P450 family 26 subfamily B member 1
ENSG00000003147.16	ENSG00000003147	ICA1	islet cell autoantigen 1
ENSG00000003249.12	ENSG00000003249	DBNDD1	dysbindin domain containing 1
ENSG00000003393.13	ENSG00000003393	ALS2	ALS2, alsin Rho guanine nucleotide exchange factor
ENSG00000003400.13	ENSG00000003400	CASP10	caspase 10
ENSG00000003402.18	ENSG00000003402	CFLAR	CASP8 and FADD like apoptosis regulator
ENSG00000003436.13	ENSG00000003436	TFPI	tissue factor pathway inhibitor
ENSG00000003509.14	ENSG00000003509	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7
ENSG00000003756.15	ENSG00000003756	RBM5	RNA binding motif protein 5
ENSG00000003987.12	ENSG00000003987	MTMR7	myotubularin related protein 7
ENSG00000003989.15	ENSG00000003989	SLC7A2	solute carrier family 7 member 2
ENSG00000004059.9	ENSG00000004059	ARF5	ADP ribosylation factor 5
ENSG00000004139.12	ENSG00000004139	SARM1	sterile alpha and TIR motif containing 1
ENSG00000004142.10	ENSG00000004142	POLDIP2	polymerase (DNA) delta interacting protein 2
ENSG00000004399.11	ENSG00000004399	PLXND1	plexin D1
ENSG00000004455.15	ENSG00000004455	AK2	adenylate kinase 2
ENSG00000004468.11	ENSG00000004468	CD38	CD38 molecule
ENSG00000004478.7	ENSG00000004478	FKBP4	FK506 binding protein 4
ENSG00000004487.14	ENSG00000004487	KDM1A	lysine demethylase 1A
ENSG00000004534.13	ENSG00000004534	RBM6	RNA binding motif protein 6
ENSG00000004660.13	ENSG00000004660	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1
ENSG00000004700.14	ENSG00000004700	RECQL	RecQ like helicase
ENSG00000004766.14	ENSG00000004766	VPS50	VPS50, EARP/GARPII complex subunit
ENSG00000004776.10	ENSG00000004776	HSPB6	heat shock protein family B (small) member 6
ENSG00000004777.17	ENSG00000004777	ARHGAP33	Rho GTPase activating protein 33
ENSG00000004779.8	ENSG00000004779	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1
ENSG00000004799.7	ENSG00000004799	PDK4	pyruvate dehydrogenase kinase 4
ENSG00000004809.12	ENSG00000004809	SLC22A16	solute carrier family 22 member 16
ENSG00000004838.12	ENSG00000004838	ZMYND10	zinc finger MYND-type containing 10
ENSG00000004846.15	ENSG00000004846	ABCB5	ATP binding cassette subfamily B member 5
ENSG00000004848.6	ENSG00000004848	ARX	aristaless related homeobox
ENSG00000004864.12	ENSG00000004864	SLC25A13	solute carrier family 25 member 13
ENSG00000004866.17	ENSG00000004866	ST7L	suppression of tumorigenicity 7
ENSG00000004897.10	ENSG00000004897	CDC27	cell division cycle 27
ENSG00000004939.12	ENSG00000004939	SLC4A1	solute carrier family 4 member 1 (Diego blood group)
ENSG00000004948.12	ENSG00000004948	CALCR	calcitonin receptor
ENSG00000004961.13	ENSG00000004961	HCCS	holocytochrome c synthase
ENSG00000004975.10	ENSG00000004975	DVL2	dishevelled segment polarity protein 2
ENSG00000005001.8	ENSG00000005001	PRSS22	protease, serine 22
ENSG00000005007.11	ENSG00000005007	UPF1	UPF1, RNA helicase and ATPase
ENSG00000005020.11	ENSG00000005020	SKAP2	src kinase associated phosphoprotein 2
ENSG00000005022.5	ENSG00000005022	SLC25A5	solute carrier family 25 member 5
ENSG00000005059.14	ENSG00000005059	MCUB	mitochondrial calcium uniporter dominant negative beta subunit
ENSG00000005073.5	ENSG00000005073	HOXA11	homeobox A11
ENSG00000005075.14	ENSG00000005075	POLR2J	polymerase (RNA) II subunit J
ENSG00000005100.11	ENSG00000005100	DHX33	DEAH-box helicase 33
ENSG00000005102.11	ENSG00000005102	MEOX1	mesenchyme homeobox 1
ENSG00000005108.14	ENSG00000005108	THSD7A	thrombospondin type 1 domain containing 7A
ENSG00000005156.10	ENSG00000005156	LIG3	DNA ligase 3
ENSG00000005175.8	ENSG00000005175	RPAP3	RNA polymerase II associated protein 3
ENSG00000005187.10	ENSG00000005187	ACSM3	acyl-CoA synthetase medium-chain family member 3
ENSG00000005189.18	ENSG00000005189	LOC81691	exonuclease NEF-sp
ENSG00000005194.13	ENSG00000005194	CIAPIN1	cytokine induced apoptosis inhibitor 1
ENSG00000005206.15	ENSG00000005206	SPPL2B	signal peptide peptidase like 2B
ENSG00000005238.18	ENSG00000005238	FAM214B	family with sequence similarity 214 member B
ENSG00000005243.8	ENSG00000005243	COPZ2	coatomer protein complex subunit zeta 2
ENSG00000005249.11	ENSG00000005249	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta
ENSG00000005302.16	ENSG00000005302	MSL3	male-specific lethal 3 homolog (Drosophila)
ENSG00000005339.11	ENSG00000005339	CREBBP	CREB binding protein
ENSG00000005379.14	ENSG00000005379	TSPOAP1	TSPO associated protein 1
ENSG00000005381.7	ENSG00000005381	MPO	myeloperoxidase
ENSG00000005421.7	ENSG00000005421	PON1	paraoxonase 1
ENSG00000005436.12	ENSG00000005436	GCFC2	GC-rich sequence DNA-binding factor 2
ENSG00000005448.15	ENSG00000005448	WDR54	WD repeat domain 54
ENSG00000005469.10	ENSG00000005469	CROT	carnitine O-octanoyltransferase
ENSG00000005471.14	ENSG00000005471	ABCB4	ATP binding cassette subfamily B member 4
ENSG00000005483.18	ENSG00000005483	KMT2E	lysine methyltransferase 2E
ENSG00000005486.15	ENSG00000005486	RHBDD2	rhomboid domain containing 2
ENSG00000005513.9	ENSG00000005513	SOX8	SRY-box 8
ENSG00000005700.13	ENSG00000005700	IBTK	inhibitor of Bruton tyrosine kinase
ENSG00000005801.15	ENSG00000005801	ZNF195	zinc finger protein 195
ENSG00000005810.16	ENSG00000005810	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase
ENSG00000005812.9	ENSG00000005812	FBXL3	F-box and leucine rich repeat protein 3
ENSG00000005844.16	ENSG00000005844	ITGAL	integrin subunit alpha L
ENSG00000005882.10	ENSG00000005882	PDK2	pyruvate dehydrogenase kinase 2
ENSG00000005884.16	ENSG00000005884	ITGA3	integrin subunit alpha 3
ENSG00000005889.14	ENSG00000005889	ZFX	zinc finger protein, X-linked
ENSG00000005893.14	ENSG00000005893	LAMP2	lysosomal associated membrane protein 2
ENSG00000005961.16	ENSG00000005961	ITGA2B	integrin subunit alpha 2b
ENSG00000005981.11	ENSG00000005981	ASB4	ankyrin repeat and SOCS box containing 4
ENSG00000006007.10	ENSG00000006007	GDE1	glycerophosphodiester phosphodiesterase 1
ENSG00000006015.16	ENSG00000006015	C19orf60	chromosome 19 open reading frame 60
ENSG00000006016.9	ENSG00000006016	CRLF1	cytokine receptor like factor 1
ENSG00000006025.10	ENSG00000006025	OSBPL7	oxysterol binding protein like 7
ENSG00000006042.10	ENSG00000006042	TMEM98	transmembrane protein 98
ENSG00000006047.11	ENSG00000006047	YBX2	Y-box binding protein 2
ENSG00000006059.3	ENSG00000006059	KRT33A	keratin 33A
ENSG00000006062.12	ENSG00000006062	MAP3K14	mitogen-activated protein kinase kinase kinase 14
ENSG00000006071.10	ENSG00000006071	ABCC8	ATP binding cassette subfamily C member 8
ENSG00000006116.3	ENSG00000006116	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3
ENSG00000006118.13	ENSG00000006118	TMEM132A	transmembrane protein 132A
ENSG00000006125.15	ENSG00000006125	AP2B1	adaptor related protein complex 2 beta 1 subunit
ENSG00000006128.10	ENSG00000006128	TAC1	tachykinin precursor 1
ENSG00000006194.9	ENSG00000006194	ZNF263	zinc finger protein 263
ENSG00000006210.6	ENSG00000006210	CX3CL1	C-X3-C motif chemokine ligand 1
ENSG00000006282.18	ENSG00000006282	SPATA20	spermatogenesis associated 20
ENSG00000006283.16	ENSG00000006283	CACNA1G	calcium voltage-gated channel subunit alpha1 G
ENSG00000006327.12	ENSG00000006327	TNFRSF12A	tumor necrosis factor receptor superfamily member 12A
ENSG00000006377.10	ENSG00000006377	DLX6	distal-less homeobox 6
ENSG00000006432.14	ENSG00000006432	MAP3K9	mitogen-activated protein kinase kinase kinase 9
ENSG00000006451.6	ENSG00000006451	RALA	RALA Ras like proto-oncogene A
ENSG00000006453.12	ENSG00000006453	BAIAP2L1	BAI1 associated protein 2 like 1
ENSG00000006459.9	ENSG00000006459	KDM7A	lysine demethylase 7A
ENSG00000006468.12	ENSG00000006468	ETV1	ETS variant 1
ENSG00000006530.14	ENSG00000006530	AGK	acylglycerol kinase
ENSG00000006534.14	ENSG00000006534	ALDH3B1	aldehyde dehydrogenase 3 family member B1
ENSG00000006555.9	ENSG00000006555	TTC22	tetratricopeptide repeat domain 22
ENSG00000006576.15	ENSG00000006576	PHTF2	putative homeodomain transcription factor 2
ENSG00000006606.7	ENSG00000006606	CCL26	C-C motif chemokine ligand 26
ENSG00000006607.12	ENSG00000006607	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2
ENSG00000006611.14	ENSG00000006611	USH1C	USH1 protein network component harmonin
ENSG00000006625.16	ENSG00000006625	GGCT	gamma-glutamylcyclotransferase
ENSG00000006634.6	ENSG00000006634	DBF4	DBF4 zinc finger
ENSG00000006638.10	ENSG00000006638	TBXA2R	thromboxane A2 receptor
ENSG00000006652.12	ENSG00000006652	IFRD1	interferon related developmental regulator 1
ENSG00000006659.11	ENSG00000006659	LGALS14	galectin 14
ENSG00000006695.9	ENSG00000006695	COX10	COX10 heme A:farnesyltransferase cytochrome c oxidase assembly factor
ENSG00000006704.9	ENSG00000006704	GTF2IRD1	GTF2I repeat domain containing 1
ENSG00000006712.13	ENSG00000006712	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component
ENSG00000006715.14	ENSG00000006715	VPS41	VPS41, HOPS complex subunit
ENSG00000006740.15	ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44
ENSG00000006744.17	ENSG00000006744	ELAC2	elaC ribonuclease Z 2
ENSG00000006747.13	ENSG00000006747	SCIN	scinderin
ENSG00000006756.14	ENSG00000006756	ARSD	arylsulfatase D
ENSG00000006757.10	ENSG00000006757	PNPLA4	patatin like phospholipase domain containing 4
ENSG00000006788.11	ENSG00000006788	MYH13	myosin heavy chain 13
ENSG00000006831.9	ENSG00000006831	ADIPOR2	adiponectin receptor 2
ENSG00000006837.10	ENSG00000006837	CDKL3	cyclin dependent kinase like 3
ENSG00000007001.11	ENSG00000007001	UPP2	uridine phosphorylase 2
ENSG00000007038.9	ENSG00000007038	PRSS21	protease, serine 21
ENSG00000007047.13	ENSG00000007047	MARK4	microtubule affinity regulating kinase 4
ENSG00000007062.10	ENSG00000007062	PROM1	prominin 1
ENSG00000007080.9	ENSG00000007080	CCDC124	coiled-coil domain containing 124
ENSG00000007129.16	ENSG00000007129	CEACAM21	carcinoembryonic antigen related cell adhesion molecule 21
ENSG00000007168.11	ENSG00000007168	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1
ENSG00000007171.15	ENSG00000007171	NOS2	nitric oxide synthase 2
ENSG00000007174.16	ENSG00000007174	DNAH9	dynein axonemal heavy chain 9
ENSG00000007202.13	ENSG00000007202	KIAA0100	KIAA0100
ENSG00000007216.13	ENSG00000007216	SLC13A2	solute carrier family 13 member 2
ENSG00000007237.17	ENSG00000007237	GAS7	growth arrest specific 7
ENSG00000007255.9	ENSG00000007255	TRAPPC6A	trafficking protein particle complex 6A
ENSG00000007264.12	ENSG00000007264	MATK	megakaryocyte-associated tyrosine kinase
ENSG00000007306.13	ENSG00000007306	CEACAM7	carcinoembryonic antigen related cell adhesion molecule 7
ENSG00000007312.11	ENSG00000007312	CD79B	CD79b molecule
ENSG00000007314.10	ENSG00000007314	SCN4A	sodium voltage-gated channel alpha subunit 4
ENSG00000007341.17	ENSG00000007341	ST7L	suppression of tumorigenicity 7 like
ENSG00000007350.15	ENSG00000007350	TKTL1	transketolase like 1
ENSG00000007372.19	ENSG00000007372	PAX6	paired box 6
ENSG00000007376.6	ENSG00000007376	RPUSD1	RNA pseudouridylate synthase domain containing 1
ENSG00000007384.14	ENSG00000007384	RHBDF1	rhomboid 5 homolog 1
ENSG00000007392.15	ENSG00000007392	LUC7L	LUC7 like
ENSG00000007402.10	ENSG00000007402	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2
ENSG00000007516.12	ENSG00000007516	BAIAP3	BAI1 associated protein 3
ENSG00000007520.3	ENSG00000007520	TSR3	TSR3, acp transferase ribosome maturation factor
ENSG00000007541.13	ENSG00000007541	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q
ENSG00000007545.14	ENSG00000007545	CRAMP1	cramped chromatin regulator homolog 1
ENSG00000007866.17	ENSG00000007866	TEAD3	TEA domain transcription factor 3
ENSG00000007908.14	ENSG00000007908	SELE	selectin E
ENSG00000007923.14	ENSG00000007923	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11
ENSG00000007933.11	ENSG00000007933	FMO3	flavin containing monooxygenase 3
ENSG00000007944.13	ENSG00000007944	MYLIP	myosin regulatory light chain interacting protein
ENSG00000007952.16	ENSG00000007952	NOX1	NADPH oxidase 1
ENSG00000007968.6	ENSG00000007968	E2F2	E2F transcription factor 2
ENSG00000008018.8	ENSG00000008018	PSMB1	proteasome subunit beta 1
ENSG00000008056.11	ENSG00000008056	SYN1	synapsin I
ENSG00000008083.12	ENSG00000008083	JARID2	jumonji and AT-rich interaction domain containing 2
ENSG00000008086.9	ENSG00000008086	CDKL5	cyclin dependent kinase like 5
ENSG00000008118.8	ENSG00000008118	CAMK1G	calcium/calmodulin dependent protein kinase IG
ENSG00000008128.21	ENSG00000008128	CDK11A	cyclin dependent kinase 11A
ENSG00000008130.14	ENSG00000008130	NADK	NAD kinase
ENSG00000008196.11	ENSG00000008196	TFAP2B	transcription factor AP-2 beta
ENSG00000008197.4	ENSG00000008197	TFAP2D	transcription factor AP-2 delta
ENSG00000008226.18	ENSG00000008226	DLEC1	deleted in lung and esophageal cancer 1
ENSG00000008256.14	ENSG00000008256	CYTH3	cytohesin 3
ENSG00000008277.13	ENSG00000008277	ADAM22	ADAM metallopeptidase domain 22
ENSG00000008282.6	ENSG00000008282	SYPL1	synaptophysin like 1
ENSG00000008283.14	ENSG00000008283	CYB561	cytochrome b561
ENSG00000008294.19	ENSG00000008294	SPAG9	sperm associated antigen 9
ENSG00000008300.13	ENSG00000008300	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3
ENSG00000008311.13	ENSG00000008311	AASS	aminoadipate-semialdehyde synthase
ENSG00000008323.14	ENSG00000008323	PLEKHG6	pleckstrin homology and RhoGEF domain containing G6
ENSG00000008324.9	ENSG00000008324	SS18L2	SS18 like 2
ENSG00000008382.14	ENSG00000008382	MPND	MPN domain containing
ENSG00000008394.11	ENSG00000008394	MGST1	microsomal glutathione S-transferase 1
ENSG00000008405.10	ENSG00000008405	CRY1	cryptochrome circadian clock 1
ENSG00000008438.4	ENSG00000008438	PGLYRP1	peptidoglycan recognition protein 1
ENSG00000008441.15	ENSG00000008441	NFIX	nuclear factor I X
ENSG00000008513.13	ENSG00000008513	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
ENSG00000008516.15	ENSG00000008516	MMP25	matrix metallopeptidase 25
ENSG00000008517.15	ENSG00000008517	IL32	interleukin 32
ENSG00000008710.16	ENSG00000008710	PKD1	polycystin 1, transient receptor potential channel interacting
ENSG00000008735.13	ENSG00000008735	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2
ENSG00000008838.16	ENSG00000008838	MED24	mediator complex subunit 24
ENSG00000008853.15	ENSG00000008853	RHOBTB2	Rho related BTB domain containing 2
ENSG00000008869.10	ENSG00000008869	HEATR5B	HEAT repeat containing 5B
ENSG00000008952.15	ENSG00000008952	SEC62	SEC62 homolog, preprotein translocation factor
ENSG00000008988.8	ENSG00000008988	RPS20	ribosomal protein S20
ENSG00000009307.14	ENSG00000009307	CSDE1	cold shock domain containing E1
ENSG00000009335.16	ENSG00000009335	UBE3C	ubiquitin protein ligase E3C
ENSG00000009413.14	ENSG00000009413	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit
ENSG00000009694.12	ENSG00000009694	TENM1	teneurin transmembrane protein 1
ENSG00000009709.10	ENSG00000009709	PAX7	paired box 7
ENSG00000009724.15	ENSG00000009724	MASP2	mannan binding lectin serine peptidase 2
ENSG00000009765.13	ENSG00000009765	IYD	iodotyrosine deiodinase
ENSG00000009780.14	ENSG00000009780	FAM76A	family with sequence similarity 76 member A
ENSG00000009790.13	ENSG00000009790	TRAF3IP3	TRAF3 interacting protein 3
ENSG00000009830.10	ENSG00000009830	POMT2	protein O-mannosyltransferase 2
ENSG00000009844.14	ENSG00000009844	VTA1	vesicle trafficking 1
ENSG00000009950.14	ENSG00000009950	MLXIPL	MLX interacting protein like
ENSG00000009954.9	ENSG00000009954	BAZ1B	bromodomain adjacent to zinc finger domain 1B
ENSG00000010017.12	ENSG00000010017	RANBP9	RAN binding protein 9
ENSG00000010030.12	ENSG00000010030	ETV7	ETS variant 7
ENSG00000010072.14	ENSG00000010072	SPRTN	SprT-like N-terminal domain
ENSG00000010165.18	ENSG00000010165	METTL13	methyltransferase like 13
ENSG00000010219.12	ENSG00000010219	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4
ENSG00000010244.15	ENSG00000010244	ZNF207	zinc finger protein 207
ENSG00000010256.9	ENSG00000010256	UQCRC1	ubiquinol-cytochrome c reductase core protein I
ENSG00000010270.12	ENSG00000010270	STARD3NL	STARD3 N-terminal like
ENSG00000010278.10	ENSG00000010278	CD9	CD9 molecule
ENSG00000010282.13	ENSG00000010282	HHATL	hedgehog acyltransferase-like
ENSG00000010292.11	ENSG00000010292	NCAPD2	non-SMC condensin I complex subunit D2
ENSG00000010295.18	ENSG00000010295	IFFO1	intermediate filament family orphan 1
ENSG00000010310.7	ENSG00000010310	GIPR	gastric inhibitory polypeptide receptor
ENSG00000010318.18	ENSG00000010318	PHF7	PHD finger protein 7
ENSG00000010319.5	ENSG00000010319	SEMA3G	semaphorin 3G
ENSG00000010322.14	ENSG00000010322	NISCH	nischarin
ENSG00000010327.9	ENSG00000010327	STAB1	stabilin 1
ENSG00000010361.12	ENSG00000010361	FUZ	fuzzy planar cell polarity protein
ENSG00000010379.14	ENSG00000010379	SLC6A13	solute carrier family 6 member 13
ENSG00000010404.16	ENSG00000010404	IDS	iduronate 2-sulfatase
ENSG00000010438.15	ENSG00000010438	PRSS3	protease, serine 3
ENSG00000010539.10	ENSG00000010539	ZNF200	zinc finger protein 200
ENSG00000010610.8	ENSG00000010610	CD4	CD4 molecule
ENSG00000010626.13	ENSG00000010626	LRRC23	leucine rich repeat containing 23
ENSG00000010671.14	ENSG00000010671	BTK	Bruton tyrosine kinase
ENSG00000010704.17	ENSG00000010704	HFE	hemochromatosis
ENSG00000010803.15	ENSG00000010803	SCMH1	sex comb on midleg homolog 1 (Drosophila)
ENSG00000010810.16	ENSG00000010810	FYN	FYN proto-oncogene, Src family tyrosine kinase
ENSG00000010818.7	ENSG00000010818	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2
ENSG00000010932.14	ENSG00000010932	FMO1	flavin containing monooxygenase 1
ENSG00000011007.11	ENSG00000011007	TCEB3	transcription elongation factor B subunit 3
ENSG00000011009.9	ENSG00000011009	LYPLA2	lysophospholipase II
ENSG00000011021.20	ENSG00000011021	CLCN6	chloride voltage-gated channel 6
ENSG00000011028.12	ENSG00000011028	MRC2	mannose receptor C type 2
ENSG00000011052.20	ENSG00000011052	NME1-NME2	NME1-NME2 readthrough
ENSG00000011083.7	ENSG00000011083	SLC6A7	solute carrier family 6 member 7
ENSG00000011105.10	ENSG00000011105	TSPAN9	tetraspanin 9
ENSG00000011114.13	ENSG00000011114	BTBD7	BTB domain containing 7
ENSG00000011132.10	ENSG00000011132	APBA3	amyloid beta precursor protein binding family A member 3
ENSG00000011143.15	ENSG00000011143	MKS1	Meckel syndrome, type 1
ENSG00000011198.6	ENSG00000011198	ABHD5	abhydrolase domain containing 5
ENSG00000011201.9	ENSG00000011201	ANOS1	anosmin 1
ENSG00000011243.16	ENSG00000011243	AKAP8L	A-kinase anchoring protein 8 like
ENSG00000011258.14	ENSG00000011258	MBTD1	mbt domain containing 1
ENSG00000011260.12	ENSG00000011260	UTP18	UTP18, small subunit processome component
ENSG00000011275.17	ENSG00000011275	RNF216	ring finger protein 216
ENSG00000011295.14	ENSG00000011295	TTC19	tetratricopeptide repeat domain 19
ENSG00000011304.15	ENSG00000011304	PTBP1	polypyrimidine tract binding protein 1
ENSG00000011332.18	ENSG00000011332	DPF1	double PHD fingers 1
ENSG00000011347.8	ENSG00000011347	SYT7	synaptotagmin 7
ENSG00000011376.8	ENSG00000011376	LARS2	leucyl-tRNA synthetase 2, mitochondrial
ENSG00000011405.12	ENSG00000011405	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
ENSG00000011422.10	ENSG00000011422	PLAUR	plasminogen activator, urokinase receptor
ENSG00000011426.9	ENSG00000011426	ANLN	anillin actin binding protein
ENSG00000011451.16	ENSG00000011451	WIZ	widely interspaced zinc finger motifs
ENSG00000011454.15	ENSG00000011454	RABGAP1	RAB GTPase activating protein 1
ENSG00000011465.15	ENSG00000011465	DCN	decorin
ENSG00000011478.10	ENSG00000011478	QPCTL	glutaminyl-peptide cyclotransferase like
ENSG00000011485.13	ENSG00000011485	PPP5C	protein phosphatase 5 catalytic subunit
ENSG00000011523.12	ENSG00000011523	CEP68	centrosomal protein 68
ENSG00000011566.13	ENSG00000011566	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3
ENSG00000011590.12	ENSG00000011590	ZBTB32	zinc finger and BTB domain containing 32
ENSG00000011600.10	ENSG00000011600	TYROBP	TYRO protein tyrosine kinase binding protein
ENSG00000011638.9	ENSG00000011638	TMEM159	transmembrane protein 159
ENSG00000011677.11	ENSG00000011677	GABRA3	gamma-aminobutyric acid type A receptor alpha3 subunit
ENSG00000012048.18	ENSG00000012048	BRCA1	BRCA1, DNA repair associated
ENSG00000012061.14	ENSG00000012061	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit
ENSG00000012124.13	ENSG00000012124	CD22	CD22 molecule
ENSG00000012171.16	ENSG00000012171	SEMA3B	semaphorin 3B
ENSG00000012174.10	ENSG00000012174	MBTPS2	membrane bound transcription factor peptidase, site 2
ENSG00000012211.11	ENSG00000012211	PRICKLE3	prickle planar cell polarity protein 3
ENSG00000012223.11	ENSG00000012223	LTF	lactotransferrin
ENSG00000012232.7	ENSG00000012232	EXTL3	exostosin like glycosyltransferase 3
ENSG00000012504.12	ENSG00000012504	NR1H4	nuclear receptor subfamily 1 group H member 4
ENSG00000012660.12	ENSG00000012660	ELOVL5	ELOVL fatty acid elongase 5
ENSG00000012779.9	ENSG00000012779	ALOX5	arachidonate 5-lipoxygenase
ENSG00000012817.14	ENSG00000012817	KDM5D	lysine demethylase 5D
ENSG00000012822.14	ENSG00000012822	CALCOCO1	calcium binding and coiled-coil domain 1
ENSG00000012963.12	ENSG00000012963	UBR7	ubiquitin protein ligase E3 component n-recognin 7 (putative)
ENSG00000012983.10	ENSG00000012983	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5
ENSG00000013016.13	ENSG00000013016	EHD3	EH domain containing 3
ENSG00000013275.6	ENSG00000013275	PSMC4	proteasome 26S subunit, ATPase 4
ENSG00000013288.7	ENSG00000013288	MAN2B2	mannosidase alpha class 2B member 2
ENSG00000013293.5	ENSG00000013293	SLC7A14	solute carrier family 7 member 14
ENSG00000013297.9	ENSG00000013297	CLDN11	claudin 11
ENSG00000013306.14	ENSG00000013306	SLC25A39	solute carrier family 25 member 39
ENSG00000013364.17	ENSG00000013364	MVP	major vault protein
ENSG00000013374.14	ENSG00000013374	NUB1	negative regulator of ubiquitin like proteins 1
ENSG00000013375.14	ENSG00000013375	PGM3	phosphoglucomutase 3
ENSG00000013392.7	ENSG00000013392	RWDD2A	RWD domain containing 2A
ENSG00000013441.14	ENSG00000013441	CLK1	CDC like kinase 1
ENSG00000013503.8	ENSG00000013503	POLR3B	polymerase (RNA) III subunit B
ENSG00000013523.8	ENSG00000013523	ANGEL1	angel homolog 1 (Drosophila)
ENSG00000013561.16	ENSG00000013561	RNF14	ring finger protein 14
ENSG00000013563.12	ENSG00000013563	DNASE1L1	deoxyribonuclease I-like 1
ENSG00000013573.15	ENSG00000013573	DDX11	DEAD/H-box helicase 11
ENSG00000013583.7	ENSG00000013583	HEBP1	heme binding protein 1
ENSG00000013588.5	ENSG00000013588	GPRC5A	G protein-coupled receptor class C group 5 member A
ENSG00000013619.12	ENSG00000013619	MAMLD1	mastermind like domain containing 1
ENSG00000013725.13	ENSG00000013725	CD6	CD6 molecule
ENSG00000013810.17	ENSG00000013810	TACC3	transforming acidic coiled-coil containing protein 3
